Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max
1867,"SATLUJ  RIVER   B/C   WITH RIVER     SPITI     AT    KHAB, DISTT.KINNAUR",HIMACHAL PRADESH,9.0,12.0,9.7,10.1,6.8,8.0,92.0,366.0,0.1,0.2,0.2,0.2,2.0,2.0,20.0,20.0
2611,SATLUJ AT KHAB,HIMACHAL PRADESH,9.0,12.0,9.7,10.1,6.7,7.9,84.0,327.0,0.1,0.5,0.2,0.5,2.0,2.0,20.0,20.0
1389,SATLUJ        AT        NEPTHA ZAKHAI,HIMACHAL PRADESH,12.0,17.0,9.1,9.6,6.8,8.1,92.0,330.0,0.1,0.5,0.2,0.4,2.0,2.0,20.0,20.0
1086,SATLUJ AT U/S RAMPUR,HIMACHAL PRADESH,14.0,17.0,8.8,9.8,6.96,7.99,107.0,309.0,0.1,0.4,0.2,0.34,2.0,2.0,21.0,21.0
1087,SATLUJ AT D/S RAMPUR,HIMACHAL PRADESH,14.0,17.0,8.7,9.2,6.91,8.04,102.0,298.0,0.1,0.2,0.2,0.513,2.0,2.0,25.0,25.0
1013,SATLUJ AT U/S TATAPANI,HIMACHAL PRADESH,15.0,19.0,8.6,8.9,6.88,7.91,106.0,311.0,0.1,2.0,0.2,0.365,2.0,2.0,25.0,25.0
1014,SATLUJ AT U/S SLAPPER,HIMACHAL PRADESH,10.0,24.0,8.0,9.7,7.56,8.11,134.0,329.0,0.1,0.1,0.2,0.862,13.0,23.0,110.0,180.0
1015,SATLUJ AT D/S SLAPPER,HIMACHAL PRADESH,10.0,20.0,6.7,9.8,7.75,8.16,123.0,310.0,0.1,0.2,0.2,0.931,21.0,43.0,130.0,350.0
1016,SATLUJ AT D/S BHAKHRA,HIMACHAL PRADESH,5.0,20.0,6.5,7.8,6.95,8.47,232.0,340.0,0.1,1.2,0.02,0.54,6.0,21.0,210.0,430.0
1017,"SATLUJ   AT   100M   U/S   OF HEADWORKS, NANGAL",PUNJAB,16.0,24.0,7.8,8.2,7.53,8.1,206.0,292.0,,,0.2,0.6,93.0,220.0,240.0,450.0
1293,"SATLUJ  AT  1  KM.  D/S  OF ZENITH, PUNJAB",PUNJAB,15.0,27.0,7.0,7.8,7.2,8.0,258.0,372.0,2.0,2.0,0.4,1.0,200.0,830.0,610.0,1500.0
1814,"SATLUJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,16.0,25.0,7.3,7.9,7.4,8.2,205.0,402.0,,,0.4,1.8,200.0,1400.0,610.0,2400.0
1018,"SATLUJ    AT    100M    D/S    , NANGAL",PUNJAB,16.0,26.0,7.5,7.9,7.66,8.2,244.0,314.0,1.0,1.0,0.4,0.8,170.0,400.0,310.0,610.0
1019,SATLUJ     AT     U/S     HEAD WORKS ROPAR,PUNJAB,16.0,24.0,7.4,7.9,7.35,8.29,224.0,360.0,,,0.4,1.0,200.0,680.0,680.0,1400.0
