Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max
2724,"SUSWA  AT MOTHRAWALA, DEHRADUN",UTTARAKHAND,16.0,21.0,1.4,3.6,7.7,8.0,,,28.0,36.0,0.0,0.0,,,1600.0,1600.0
2728,GOLA  AT HALDWANI,UTTARAKHAND,11.0,20.0,7.0,7.8,7.2,7.9,210.0,240.0,1.0,1.6,0.0,0.0,,,,
1064,RAMGANGA  B/C AT KANNAUJ,UTTAR PRADESH,17.0,33.0,6.1,8.9,6.9,8.5,302.0,614.0,3.5,6.6,0.2,0.5,2100.0,4100.0,3400.0,8400.0
2497,"KALI EAST AT KHARKHODA- PARIKSHIT GARH ROAD, VILL. KOL, MEERUT",UTTAR PRADESH,17.0,23.0,,,7.4,7.8,780.0,1950.0,52.0,72.0,2.0,5.2,110000.0,170000.0,170000.0,280000.0
1065,KALINAD B/CI AT KANNAUJ,UTTAR PRADESH,17.0,33.0,5.9,9.4,7.0,8.2,203.0,993.0,3.1,7.0,0.2,0.5,2100.0,4700.0,3800.0,9200.0
2482,"VARUNA AT RAMESHWAR, VARANASI",UTTAR PRADESH,22.0,34.0,5.9,9.0,7.2,8.2,294.0,574.0,2.7,4.5,0.0,0.0,1700.0,17000.0,2700.0,31000.0
2483,VARUNA B/C WITH  GANGA AT VARANASI,UTTAR PRADESH,22.0,34.0,1.5,6.4,7.4,8.6,354.0,709.0,15.0,45.0,0.0,0.0,70000.0,170000.0,140000.0,240000.0
1361,SAI AT UNNAO AFTER DRAIN OUTFALL,UTTAR PRADESH,18.0,29.0,6.7,8.1,7.1,7.4,385.0,632.0,2.9,4.0,0.1,0.1,1500.0,2500.0,3100.0,4900.0
2484,"SAI AT JALALPUR, JAUNPUR",UTTAR PRADESH,22.0,32.0,6.8,8.6,7.2,8.4,312.0,582.0,3.2,4.3,0.0,0.0,5000.0,13000.0,8000.0,17000.0
1350,GOMTI AT SITAPUR U/S AT WATER INTAKE,UTTAR PRADESH,17.0,36.0,7.8,11.9,7.5,8.7,180.0,532.0,2.3,2.8,1.0,1.7,68.0,460.0,200.0,1700.0
1351,GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,UTTAR PRADESH,18.0,36.0,5.4,10.6,7.6,8.5,16.0,598.3,3.1,3.7,1.3,5.9,780.0,4000.0,1700.0,5400.0
1352,GOMTI D/S LUCKNOW,UTTAR PRADESH,18.0,35.0,0.3,4.1,7.4,7.9,572.0,1085.0,10.0,13.0,1.6,6.8,79000.0,140000.0,130000.0,210000.0
1353,GOMTI D/S  JAUNPUR,UTTAR PRADESH,22.0,33.0,7.1,8.8,8.0,8.6,340.0,588.0,4.0,5.0,0.0,0.0,14000.0,23000.0,22000.0,34000.0
1072,GOMTI AT VARANASI,UTTAR PRADESH,21.0,31.0,7.4,9.2,7.2,8.4,290.0,572.0,3.0,4.5,0.0,0.0,5000.0,13000.0,11000.0,17000.0
2491,"RAPTI AT RAJGHAT, GORAKHPUR",UTTAR PRADESH,13.0,31.0,7.2,7.5,7.8,8.2,412.0,580.0,3.0,5.9,0.5,0.7,1700.0,5400.0,3500.0,9200.0
1363,"RAPTI A/C OF HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR",UTTAR PRADESH,15.0,32.0,7.4,8.0,8.0,8.2,336.0,416.0,2.2,2.6,0.2,0.3,170.0,500.0,340.0,800.0
1354,SARYU AT AYODHYA AT MAIN BATHING GHAT,UTTAR PRADESH,18.0,25.0,7.4,9.9,7.8,7.9,171.0,219.0,2.9,4.1,0.7,0.8,3900.0,5100.0,7000.0,8000.0
1355,GHAGHARA D/S DEORIA,UTTAR PRADESH,15.0,31.0,7.5,8.0,8.0,8.2,384.0,454.0,2.4,2.9,0.2,0.3,200.0,800.0,450.0,1700.0
2492,"GHAGHRA AT BARHALGANJ, GORAKHPUR",UTTAR PRADESH,14.0,33.0,7.1,7.9,7.8,8.3,406.0,588.0,2.9,4.5,0.3,0.7,1300.0,4500.0,2200.0,7000.0
1076,GHAGHARA NEAR CHAPRA,BIHAR,17.0,30.0,6.8,9.8,7.1,8.5,216.0,424.0,2.0,2.9,0.0,0.0,700.0,1700.0,1400.0,5000.0
1359,RIHAND U/S  RENUKUT,UTTAR PRADESH,21.0,26.0,7.1,7.9,7.2,8.2,282.0,382.0,1.4,1.8,0.2,0.3,780.0,1400.0,2100.0,2800.0
1360,RIHAND D/S RENUKUT,UTTAR PRADESH,21.0,26.0,7.5,8.2,7.3,8.3,298.0,398.0,1.3,2.0,0.2,0.3,1000.0,1700.0,2300.0,3200.0
1075,SONE AT KOELWAR,BIHAR,22.0,31.0,5.0,8.8,7.1,8.3,180.0,460.0,2.0,2.9,0.0,0.0,700.0,2300.0,140.0,5000.0
1078,"GANDAK B/C AT SONEPUR, PATNA",BIHAR,17.0,30.0,7.2,9.8,7.0,8.6,214.0,348.0,1.8,2.9,0.0,0.0,500.0,1700.0,1100.0,5000.0
2568,"GANDAK AT REWAGHAT, MUJAFFARPUR",BIHAR,16.0,30.0,7.0,9.5,7.0,8.2,210.0,326.0,1.8,2.8,0.0,0.0,500.0,1700.0,1100.0,5000.0
2570,GANDAK AT SAMASTIPUR ROAD BRIDGE,BIHAR,20.0,34.0,7.6,9.4,7.3,8.9,218.0,521.0,2.0,2.9,0.0,0.0,700.0,2200.0,2000.0,5000.0
2575,"SIKRAHNA  AT LAL PARSE, BITTIAH",BIHAR,17.0,36.0,6.2,8.6,7.2,8.5,226.0,967.0,2.2,2.8,0.0,0.0,900.0,3000.0,2200.0,8000.0
1820,SIKRANA AT CHANPATIYA,BIHAR,16.0,30.0,6.0,8.6,7.4,8.2,221.0,623.0,2.4,2.8,0.0,0.0,800.0,2600.0,3000.0,5000.0
2562,"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",BIHAR,17.0,33.0,6.6,9.0,7.3,8.8,253.0,518.0,1.8,2.9,0.0,0.0,1100.0,3000.0,3000.0,5000.0
2558,HARBORA AT NARKATIAGANJ,BIHAR,17.0,30.0,6.5,8.2,6.5,7.9,222.0,585.0,2.6,3.0,0.0,0.0,700.0,3000.0,2400.0,5000.0
